genes,cmp,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,pass_filter,direction
AT2G01021,M1_V1,9583.3480228415,0.486288740893684,0.509057712811103,2.49689455912884,0.0125286203697501,0.355878282746461,1,Up
AT2G01023,M1_V1,2.43934361912627,0.384607315162144,0.552815348894521,1.24148891502632,0.214425190623643,0.825473530033189,1,Up
AT3G01010,M1_V1,0,0,NA,NA,NA,1,1,Insignificant
AT3G01015,M1_V1,0.125224575701476,-0.0434129456237903,0.266203290457767,-0.0965972258638377,0.923046259633354,0.977492804169201,1,Down
AT3G01020,M1_V1,0,0,NA,NA,NA,1,1,Insignificant
AT3G01030,M1_V1,0,0,NA,NA,NA,1,1,Insignificant
AT3G01040,M1_V1,144.53907892842,-0.384987385988819,0.320958510216557,-1.51603611379871,0.129510220921591,0.713641147310774,1,Down
AT3G01050,M1_V1,71.7381472996247,-0.253649221979073,0.370811281318266,-0.487368628057218,0.62599712151043,0.977243986236784,1,Down
AT3G01060,M1_V1,122.696578873229,1.31584439395983,0.419791414921742,2.24106597026205,0.0250218020844713,0.355878282746461,1,Up
AT3G01070,M1_V1,1.08420214756646,0.178620337037633,0.452013358851078,-0.16679779754319,0.86752915171637,0.977492804169201,1,Up
AT3G01080,M1_V1,43.1766066700129,-0.293637516830389,0.515997278870115,-0.339520811764938,0.734217421668489,0.977243986236784,1,Down
AT3G01085,M1_V1,0,0,NA,NA,NA,1,1,Insignificant
AT3G01090,M1_V1,168.842529203709,-0.49067800458984,0.303732765168135,-1.48461775654335,0.137645109041247,0.713641147310774,1,Down
AT3G01100,M1_V1,81.7311042526946,-0.229062932033617,0.337058411108162,-0.68306542400062,0.494565502520088,0.977243986236784,1,Down
AT3G01120,M1_V1,1105.36282243614,0.122843392947632,0.31384851009732,0.42667341439592,0.669617217116983,0.977243986236784,1,Up
AT3G01130,M1_V1,137.196754560654,-0.60625934733108,0.368165078743963,-1.57308490426909,0.115699159871433,0.713641147310774,1,Down
AT3G01140,M1_V1,19.3741857807295,-0.523129122895291,0.526657195232141,2.15195339797661,0.0314010249482172,0.355878282746461,1,Down
AT3G01150,M1_V1,90.8181131894553,-0.838740030028583,0.373303231373234,-2.23674906975685,0.0253027449349754,0.355878282746461,1,Down
AT3G01160,M1_V1,83.3387106294732,0.158087441434934,0.369582290030442,0.678770110303307,0.497283535155476,0.977243986236784,1,Up
AT3G01170,M1_V1,76.6759927161876,-0.60975110144554,0.382912240044228,-1.53883959009275,0.123843462049642,0.713641147310774,1,Down
AT4G00005,M1_V1,0,0,NA,NA,NA,1,1,Insignificant
AT4G00020,M1_V1,11.7097343963866,-0.387578081106512,0.518918247274836,-0.788152907576872,0.430607271066331,0.977243986236784,1,Down
AT4G00026,M1_V1,54.414139316612,0.29781070119348,0.394892182761965,1.42581205448014,0.153922600400363,0.713641147310774,1,Up
AT4G00030,M1_V1,126.477449410671,-0.210216555364387,0.4260604431255,-0.0210112188768695,0.983236706282468,0.983236706282468,1,Down
AT4G00040,M1_V1,165.48901421955,-0.308398957076164,0.344323421497622,-0.658673084714143,0.510105720237823,0.977243986236784,1,Down
AT4G00050,M1_V1,114.558832202252,0.134014829874552,0.501621445648144,2.17782215150467,0.0294192800605375,0.355878282746461,1,Up
AT4G00060,M1_V1,161.21978826083,-0.360794256621746,0.34477093292252,-1.060852568763,0.288756907577807,0.901183633885948,1,Down
AT4G00070,M1_V1,0.281461453250061,-0.0526411016977455,0.267007916726878,0.118883444222871,0.905367698330079,0.977492804169201,1,Down
AT4G00080,M1_V1,0,0,NA,NA,NA,1,1,Insignificant
AT4G00090,M1_V1,76.849537659181,-0.682821786622729,0.372679811247713,-1.35586276910456,0.175142835308509,0.776720400063821,1,Down
AT4G00100,M1_V1,507.331008021021,-0.463696674912852,0.357595090671044,-1.05679629064149,0.290604567586376,0.901183633885948,1,Down
AT4G00110,M1_V1,45.587638663458,-0.465121959275933,0.356649694396877,-1.24547952532795,0.212955537086623,0.825473530033189,1,Down
AT4G00120,M1_V1,0,0,NA,NA,NA,1,1,Insignificant
AT4G00124,M1_V1,0,0,NA,NA,NA,1,1,Insignificant
AT4G00130,M1_V1,6.21111563426231,-0.176225232669033,0.546383931560984,-0.714967473022894,0.474629142430897,0.977243986236784,1,Down
AT4G00140,M1_V1,12.3698599680571,-0.541595267614006,0.521609135825907,-0.957153556868742,0.338489754718908,0.933133918414288,1,Down
AT5G01010,M1_V1,409.224968874075,-0.813782721738384,0.295220439454838,-2.6010745455592,0.00929322575378447,0.355878282746461,1,Down
AT5G01015,M1_V1,15.2498629356381,0.711264773776119,0.553826483875661,1.95691226907314,0.0503577838234947,0.513649394999646,1,Up
AT5G01020,M1_V1,277.284794936012,-0.337157890698415,0.336446269855762,-0.756359070841339,0.44943394044081,0.977243986236784,1,Down
AT5G01030,M1_V1,60.9059559523584,0.23570418473102,0.350681176778829,0.780519924459156,0.435084904464412,0.977243986236784,1,Up
AT5G01040,M1_V1,34.907459010901,0.0491820477144538,0.462535778908436,-1.43704428991954,0.150705409254005,0.713641147310774,1,Up
AT5G01050,M1_V1,1.97443041018832,0.547952475602551,0.499775068015203,0.0691818382387266,0.944844879452748,0.977492804169201,1,Up
AT5G01060,M1_V1,0.0504973010216314,-0.0296009659516295,0.26539507606527,-0.236017519764951,0.813419075362537,0.977492804169201,1,Down
AT5G01070,M1_V1,0.168573509885187,0.202244578140511,0.267303025610302,0.525113718688138,0.599504139871683,0.977243986236784,1,Up
AT5G01075,M1_V1,8.93144321151451,0.449019412561764,0.513368497403031,2.17557551845038,0.029587015584784,0.355878282746461,1,Up
AT5G01080,M1_V1,0.0252486505108157,-0.0182325953168124,0.265388487616038,-0.0965876229394623,0.923053885997979,0.977492804169201,1,Down
AT5G01090,M1_V1,44.4147973657482,-0.0174771994821137,0.388531901487235,0.0584164053255368,0.953416947526591,0.977492804169201,1,Down
AT5G01100,M1_V1,257.213373689422,-0.37248877559571,0.423195678790536,-1.69292139188636,0.0904704308830833,0.713641147310774,1,Down
AT5G01110,M1_V1,7.19459689406977,-0.00343975223704508,0.552915088996689,-0.507218711747515,0.612001367257316,0.977243986236784,1,Down
AT5G01120,M1_V1,0.364040221091897,0.0174907041408499,0.268613605948579,-0.217764794298175,0.827612376341616,0.977492804169201,1,Up
AT5G01130,M1_V1,0,0,NA,NA,NA,1,1,Insignificant
AT5G01140,M1_V1,0,0,NA,NA,NA,1,1,Insignificant
AT5G01150,M1_V1,0,0,NA,NA,NA,1,1,Insignificant
AT5G01160,M1_V1,102.444920157222,-0.617413630533564,0.336276554812334,-1.64642567399757,0.0996761508588195,0.713641147310774,1,Down
ATCG00020,M1_V1,1704.29761096099,0.728967422853625,0.50599832965634,1.17381301141738,0.240469931174377,0.875997606420945,1,Up
ATCG00040,M1_V1,6.78506627380525,0.647271677118055,0.553570143274396,0.877520522572071,0.380203976842893,0.977243986236784,1,Up
ATCG00050,M1_V1,0.137933030947785,0.155275856968702,0.267004420862715,0.468813526499661,0.639202930524461,0.977243986236784,1,Up
ATCG00070,M1_V1,7.6852161857211,0.0258387786263346,0.539000366641253,-0.311845155833832,0.755158204622807,0.977243986236784,1,Up
ATCG00080,M1_V1,12.6297098859665,0.381988177766688,0.453317636488253,0.114699831063676,0.908683047837001,0.977492804169201,1,Up
ATCG00120,M1_V1,72.7110139333098,0.0100500821780204,0.423486413753613,-0.415882500715482,0.677495985160437,0.977243986236784,1,Up
ATCG00130,M1_V1,31.084790666375,0.608899289757341,0.50651755688543,0.725174494205352,0.468344988089071,0.977243986236784,1,Up
ATCG00140,M1_V1,32.6895616691186,0.494112791924097,0.499263549018241,1.10257591649476,0.270211373675046,0.901183633885948,1,Up
ATCG00150,M1_V1,14.2283392523209,0.459793151445433,0.501880941160662,0.457765005223561,0.647121279953829,0.977243986236784,1,Up
ATCG00160,M1_V1,2.6466045993974,0.697040188741232,0.552293859103968,0.175746810113904,0.860492858454161,0.977492804169201,1,Up
ATCG00170,M1_V1,9.64685568146758,0.150411803133473,0.529479667937593,-0.321593832535672,0.7477604167558,0.977243986236784,1,Up
ATCG00180,M1_V1,13.8370027722492,-0.116822775710855,0.493590232153727,-0.617845541946389,0.536677159673541,0.977243986236784,1,Down
ATCG00190,M1_V1,34.9137120433522,0.226463487196233,0.435613491108883,-0.188166971202854,0.850745763139536,0.977492804169201,1,Up
ATCG00210,M1_V1,5.05584079910749,0.329594358450661,0.55889663281873,0.473828813158939,0.635621986034185,0.977243986236784,1,Up
ATCG00220,M1_V1,7.63000368447309,0.889559721975462,0.551200912067697,0.563679611840077,0.572972195192409,0.977243986236784,1,Up
ATCG00270,M1_V1,99.7493970983426,0.610865842321498,0.447981774783189,1.08002252258372,0.280132150835386,0.901183633885948,1,Up
ATCG00280,M1_V1,261.301224067785,0.734806214905043,0.449815523777888,1.42677855029709,0.153643735757405,0.713641147310774,1,Up
ATCG00300,M1_V1,6.71388071650268,0.528244076682447,0.54970544954677,0.416988723271373,0.676686656019431,0.977243986236784,1,Up
ATCG00330,M1_V1,33.8050175308738,0.864822997643002,0.48701857304883,1.52788690567259,0.126540619857708,0.713641147310774,1,Up
ATCG00340,M1_V1,183.119230850256,0.158616991426566,0.453414771324165,0.0952285768582435,0.924133272074742,0.977492804169201,1,Up
ATCG00350,M1_V1,208.064513594797,0.376834874874493,0.444660007023081,0.533059829718791,0.593992164993257,0.977243986236784,1,Up
ATCG00360,M1_V1,1.92597156885898,0.198195114809949,0.548782719778901,0.407827381107086,0.683400409876474,0.977243986236784,1,Up
ATCG00380,M1_V1,4.88041541990303,0.248795558487355,0.549318521089507,0.205658716352108,0.83705750872351,0.977492804169201,1,Up
ATCG00420,M1_V1,18.6377856714636,0.353561373127751,0.547386254958406,0.329505832051367,0.741773386521466,0.977243986236784,1,Up
ATCG00430,M1_V1,34.3561845389906,1.03049703732377,0.498145023085336,1.54039751420094,0.123463486975166,0.713641147310774,1,Up
ATCG00440,M1_V1,6.08042299652964,1.06625797007904,0.524002280071732,0.979806906199889,0.327181442438534,0.927014086909179,1,Up
ATCG00470,M1_V1,63.373066366021,0.408986172075356,0.430595807903739,0.308867021084012,0.757422684378784,0.977243986236784,1,Up
ATCG00480,M1_V1,247.171928335397,0.392050184618415,0.425877760693528,0.523335395146232,0.600740873766519,0.977243986236784,1,Up
ATCG00490,M1_V1,792.346562434748,0.58389058028158,0.464858218645483,1.05470686529652,0.291559410963101,0.901183633885948,1,Up
ATCG00500,M1_V1,4.61597018791232,0.956682534293526,0.557187647832951,1.23050595308489,0.218507699126432,0.825473530033189,1,Up
ATCG00510,M1_V1,2.87943292314014,0.725304108681048,0.537756902958606,0.381876454035326,0.702553006069058,0.977243986236784,1,Up
ATMG00010,M1_V1,0.865064307575886,0.141459214032759,0.376108163968923,0.0760348490855872,0.939391372875436,0.977492804169201,1,Up
ATMG00030,M1_V1,67.3697081552768,0.505980723827918,0.488165312387159,1.79000792981016,0.0734526366084899,0.68110626673327,1,Up
ATMG00040,M1_V1,27.0681790080813,-0.0636432751619311,0.465235784281152,0.0522540342537953,0.958326278597255,0.977492804169201,1,Down
